empresa,data,data_formatada,Open,High,Low,Close,Volume,retorno_diario,retorno_diario_2d,posi,ind_posi,neg,ind_neg,neu,ind_neu,indice
brf,2017-11-10,2017-11-10,43.75,43.75,40.599998,41.02,7369400.0,0.06443186015938887,-0.02591424103277462,118.0,0.3241758241758242,25.0,0.0686813186813186,221.0,0.6071428571428571,0.2554945054945055
brf,2022-02-25,2022-02-25,17.379999,17.5,16.57,16.709999,15965100.0,0.03931277953694906,-0.048444203259563806,126.0,0.2751091703056768,55.0,0.1200873362445414,277.0,0.6048034934497817,0.1550218340611353
brf,2016-04-29,2016-04-29,47.970001,50.849998,47.650002,49.200001,6567300.0,-0.025317807463130716,-0.011081603357822796,155.0,0.3063241106719367,72.0,0.1422924901185771,279.0,0.5513833992094862,0.1640316205533596
brf,2022-11-10,2022-11-10,11.81,11.83,10.81,11.0,19639700.0,0.07105135741090048,-0.05578451764738835,148.0,0.3936170212765957,32.0,0.0851063829787234,196.0,0.5212765957446809,0.3085106382978723
brf,2018-08-10,2018-08-10,21.09,21.17,20.1,20.440001,12222500.0,0.031305180231501785,-0.07806049696459594,92.0,0.2277227722772277,65.0,0.1608910891089109,247.0,0.6113861386138614,0.0668316831683168
brf,2014-08-01,2014-08-01,56.0,57.450001,55.740002,56.959999,2021900.0,-0.016997558812391192,0.03835405219485546,125.0,0.2729257641921397,59.0,0.1288209606986899,274.0,0.5982532751091703,0.1441048034934497
brf,2019-05-10,2019-05-10,30.49,30.49,29.389999,29.879999,9909500.0,0.020209434202749413,-0.024708883467941697,81.0,0.1519699812382739,105.0,0.1969981238273921,347.0,0.651031894934334,-0.0450281425891182
brf,2020-05-13,2020-05-13,20.52,22.85,20.4,22.85,26261600.0,-0.10755109703764495,0.1240361921452628,146.0,0.2796934865900383,83.0,0.1590038314176245,293.0,0.5613026819923371,0.1206896551724138
brf,2015-07-31,2015-07-31,69.150002,71.870003,69.150002,71.870003,5122600.0,-0.038580886188985836,0.03568510142843546,189.0,0.4364896073903002,33.0,0.0762124711316397,211.0,0.48729792147806,0.3602771362586605
brf,2018-11-08,2018-11-08,21.299999,22.049999,21.0,21.0,6992200.0,0.014184588043598498,-0.07805876571751574,104.0,0.2043222003929273,49.0,0.0962671905697446,356.0,0.6994106090373281,0.1080550098231827
