Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,6.405356,6.405356,6.215494,6.280447,4.012360,14637404
2015-01-05,6.105573,6.270454,6.070599,6.205501,3.964481,15570881
2015-01-06,6.295436,6.460316,6.200505,6.405356,4.092161,28972590
2015-01-07,6.650179,6.715132,6.560244,6.585226,4.207075,16810379
2015-01-08,6.615204,6.815059,6.585226,6.735117,4.302834,30165654
2015-01-09,6.695146,6.755103,6.535262,6.570237,4.197496,15665749
2015-01-12,6.350396,6.425342,6.300432,6.355392,4.060237,21376086
2015-01-13,6.530266,6.535262,6.330410,6.430338,4.108120,21329052
2015-01-14,6.500287,6.610208,6.455320,6.555247,4.187920,29350864
2015-01-15,6.630193,6.665168,6.330410,6.340403,4.050664,25201258
2015-01-16,6.430338,6.610208,6.375378,6.605211,4.219838,42262618
2015-01-20,6.375378,6.400360,6.270454,6.380374,4.076200,21115898
2015-01-21,6.425342,6.705139,6.375378,6.675161,4.264532,27548959
2015-01-22,6.720128,6.825052,6.620200,6.760099,4.318793,21768170
2015-01-23,6.625197,6.630193,6.500287,6.580229,4.203879,15934544
2015-01-26,6.500287,6.645182,6.470309,6.620200,4.229415,15142971
2015-01-27,6.515276,6.690150,6.500287,6.660171,4.254954,14533929
2015-01-28,6.575233,6.575233,6.415349,6.425342,4.104930,17669801
2015-01-29,6.405356,6.420345,6.240476,6.345400,4.053855,21827814
2015-01-30,6.055610,6.140548,6.020635,6.055610,3.868720,23622514
2015-02-02,6.015639,6.195508,6.000650,6.185516,3.953668,16766547
2015-02-03,6.335407,6.375378,6.275450,6.310425,4.033507,19473308
2015-02-04,6.210497,6.515276,6.180519,6.465313,4.132510,45256988
2015-02-05,6.390367,6.510280,6.345400,6.440331,4.116539,33758857
2015-02-06,6.305429,6.340403,6.240476,6.240476,3.988800,73885128
2015-02-09,6.275450,6.365385,6.260461,6.355392,4.062252,25566322
2015-02-10,6.215494,6.245472,6.100577,6.125559,3.915344,46330565
2015-02-11,5.840765,5.865747,5.745834,5.845762,3.834397,25280115
2015-02-12,5.975668,6.115566,5.965675,6.080592,3.988429,45957695
2015-02-13,6.115566,6.345400,6.110570,6.310425,4.139183,54796299
2015-02-17,6.285443,6.405356,6.240476,6.390367,4.191617,10838252
2015-02-18,6.385371,6.400360,6.240476,6.295436,4.129351,16761143
2015-02-19,6.230483,6.290439,6.165530,6.225487,4.083470,11305591
2015-02-20,6.165530,6.245472,6.125559,6.230483,4.086748,12411792
2015-02-23,6.250468,6.325414,6.175523,6.265458,4.109688,17120203
2015-02-24,6.270454,6.475305,6.180519,6.470309,4.244056,15264259
2015-02-25,6.290439,6.380374,6.245472,6.365385,4.175235,19277766
2015-02-26,6.295436,6.390367,6.275450,6.350396,4.165402,13969120
2015-02-27,6.420345,6.570237,6.335407,6.385371,4.188343,31131554
2015-03-02,6.330410,6.340403,6.210497,6.260461,4.108018,21468553
2015-03-03,6.210497,6.270454,6.190512,6.260461,4.108018,29993730
2015-03-04,6.060606,6.130555,5.995653,6.130555,4.022775,48268569
2015-03-05,6.030628,6.065602,5.915711,5.935697,3.894910,34113715
2015-03-06,5.840765,5.875740,5.655899,5.665892,3.717870,77485336
2015-03-09,5.580954,5.610932,5.346124,5.421070,3.557220,57855715
2015-03-10,5.426066,5.426066,5.221215,5.246197,3.442472,99395009
2015-03-11,5.251193,5.416073,5.231207,5.371106,3.524437,33483058
2015-03-12,5.466037,5.506008,5.326139,5.386095,3.534273,28637747
2015-03-13,5.176247,5.216218,5.056334,5.191236,3.406408,38599564
2015-03-16,5.241200,5.301157,5.151265,5.191236,3.406408,17530901
2015-03-17,5.151265,5.351120,5.126283,5.341128,3.504766,23650935
2015-03-18,5.281171,5.600939,5.276175,5.560968,3.649020,39480002
2015-03-19,5.456044,5.471034,5.306153,5.371106,3.524437,19279768
2015-03-20,5.520997,5.610932,5.511005,5.540983,3.635910,24534775
2015-03-23,5.560968,5.645907,5.535986,5.630918,3.694921,15851884
2015-03-24,5.725849,5.730845,5.560968,5.635914,3.698199,20811277
