date;periodo;posi;neg;neut;indice
06/05/2015;1T15;94;60;247;0.08478802992518704
05/08/2015;2T15;92;42;153;0.17421602787456447
04/11/2015;3T15;72;60;185;0.03785488958990536
03/02/2016;4T15;92;87;290;0.010660980810234541
04/05/2016;1T16;88;75;246;0.03178484107579462
03/08/2016;2T16;105;71;206;0.08900523560209424
01/11/2016;3T16;92;67;269;0.05841121495327103
08/02/2017;4T16;103;90;331;0.02480916030534351
04/05/2017;1T17;89;55;235;0.08970976253298153
01/08/2017;2T17;82;32;120;0.21367521367521367
31/10/2017;3T17;58;30;102;0.14736842105263157
06/02/2018;4T17;51;33;115;0.09045226130653267
02/05/2018;1T18;84;51;108;0.13580246913580246
31/07/2018;2T18;108;28;183;0.2507836990595611
30/10/2018;3T18;71;40;160;0.11439114391143912
05/02/2019;4T18;57;22;93;0.20348837209302326
03/05/2019;1T19;29;10;36;0.25333333333333335
29/07/2019;2T19;45;24;112;0.11602209944751381
05/11/2019;3T19;55;19;102;0.20454545454545456
11/02/2020;4T19;95;37;150;0.20567375886524822
